"Opportunity Owner";"Opportunity Name";"Account Name";"City";"Stage";"Fiscal Period";"Amount Currency";"Amount";"Probability (%)";"Age";"Created Date";"Close Date";"Stage Duration";"Opportunity ID";"Agreed spots";"Country";"Dedicated Spots";"Lead Source";"Amount (converted) Currency";"Amount (converted)";"Fixed Fee Amount (Monthly) Currency";"Fixed Fee Amount (Monthly)";"Fixed Fee / Revenue Share";"GarageID";"Launch Date";"Total ParkBee Spots";"Location"
"Alex Murden";"Stafferton Way Car Park";"Stafferton Way Car Park";"";"Contacted";"Q1-2017";"GBP";"";"25";"480,0000000000";"31-3-2017";"31-3-2017";"480,0000000000";"0065800000FJqkF";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Maidenhead"
"Alex Murden";"Gallan Group Parking (Multiple Locations)";"Gallan Group Parking";"";"Contacted";"Q2-2017";"GBP";"";"25";"480,0000000000";"31-3-2017";"31-5-2017";"480,0000000000";"0065800000FJpbM";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Thorp St, Birmingham B5 4AT"
"Alex Murden";"Copthorne Tara - Kensington (London W8)";"Copthorne Tara Hotel";"";"Contacted";"Q2-2017";"GBP";"";"25";"480,0000000000";"31-3-2017";"30-6-2017";"480,0000000000";"0065800000FJqPY";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Scarsdale Place, Kensington, London W8 5SY"
"Alex Murden";"U Park - Knightsbridge (London, SW1)";"U PARK Knightsbridge";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"30-6-2017";"467,0000000000";"0065800000FoEX0";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"The Car Park Tower, Knightsbridge, London"
"Alex Murden";"Barnet muti-cultural community centre (London, NW4)";"Barnet multi-cultural community centre";"";"Contacted";"Q2-2017";"EUR";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FoFTt";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"EUR";"";"";"";"";"";"Algernon Road, London NW4 3TA"
"Alex Murden";"Allicator Storage - Kings Cross (London, NW1)";"Allicator Storage";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FoFRi";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Everton Buildings, Kings Cross, London NW1 3RY"
"Adrian Thomas";"City Business Centre - Evelyn Court (London, SE8)";"City Business Centres - Evelyn  Court";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FoFHF";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Grinstead Rd, London SE8 5AD, UK"
"Alex Murden";"Solent Business Centre (Southampton, SO15)";"Solent Business Centre";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FnFyX";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Millbrook Road West, Millbrook, Southampton, SO15 0HW"
"Alex Murden";"Busworks - United House (London,";"Busworks (United House)";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FoCng";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Islington, London, N7 9DP."
"Alex Murden";"Park Lane methodist Church (London, HA9)";"Park Lane Methodist Church";"";"Contacted";"Q2-2017";"EUR";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FoFUr";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"EUR";"";"";"";"";"";"Park Ln, Wembley HA9 7SG"
"Alex Murden";"St Mary of the Angels Church";"St Mary of the Angels";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FoFVz";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Moorhouse Rd, Bayswater, London W2 5DJ"
"Alex Murden";"Whitely Shopping Centre (London, W2)";"Whiteleys Shopping Centre";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FnFJ3";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Queensway, London W2 4YN"
"Alex Murden";"Hendon Leisure Centre (London, NW2)";"Hendon Leisure Centre";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FnFQG";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Marble Drive, London NW2 1XQ"
"Alex Murden";"Total Car Parks";"Total Car Parks";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"30-6-2017";"467,0000000000";"0065800000FoEma";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Gravel Lane, Salford, Manchester, M3 7ND"
"Alex Murden";"The Business Centre Ltd (Cardiff)";"The Business Centre (Cardiff) Ltd";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FoFSb";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Cardiff House, Cardiff Road, Barry, Vale of Glamorgan, CF63 2AW"
"Alex Murden";"Dutch & Dutch - Park Royal (London, W3)";"Dutch & Dutch Commercial property";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FoFQQ";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Dukes Road, Park Royal, London W3"
"Alex Murden";"Parking-Here - Swiss Cottage (London, NW3)|";"Parking-Here (Swiss Cottage)";"";"Contacted";"Q2-2017";"GBP";"";"25";"467,0000000000";"13-4-2017";"31-5-2017";"467,0000000000";"0065800000FoDrA";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"97 Avenue Road, London NW3 5EG"
"Alex Murden";"SR MDL School (London)";"Samuel Rhodes MDL School";"";"Contacted";"Q2-2017";"GBP";"";"25";"459,0000000000";"21-4-2017";"31-5-2017";"459,0000000000";"0065800000G8NyU";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"11 Highbury New Park, Highbury East, London N5 2EG"
"Alex Murden";"William Morris Sixth Form - Hammersmith (London, W6)";"William Morris Sixth Form";"";"Contacted";"Q2-2017";"GBP";"";"25";"460,0000000000";"20-4-2017";"31-5-2017";"460,0000000000";"0065800000G7ymK";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"St Dunstan's Road, London, W6 8RB, England"
"Alex Murden";"Sion-Manning Catholic Girls - (London, W10)";"Sion-Manning Catholic Girls School";"";"Contacted";"Q2-2017";"GBP";"";"25";"460,0000000000";"20-4-2017";"31-5-2017";"460,0000000000";"0065800000G7yz2";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"75 St Charles Square, London W10 6EL"
"Alex Murden";"Enfield Business Centre";"Enfield Business Centre";"";"Contacted";"Q2-2017";"GBP";"";"25";"459,0000000000";"21-4-2017";"31-5-2017";"459,0000000000";"0065800000G8N9w";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"201 Hertford Road, Enfield, Middlesex EN3 5JH"
"Alex Murden";"Bizspace (Multiple Locations)";"Bizspace";"";"Contacted";"Q2-2017";"GBP";"";"25";"460,0000000000";"20-4-2017";"31-5-2017";"460,0000000000";"0065800000G83Un";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Sovereign House, 1 Albert Place, London N3 1QB"
"Alex Murden";"Arcland School";"Arcland Burghley School";"";"Contacted";"Q2-2017";"GBP";"";"25";"460,0000000000";"20-4-2017";"31-5-2017";"460,0000000000";"0065800000G7ysU";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"93 Burghley Rd, London NW5 1UJ"
"Alex Murden";"St Charles Catholic College (London)";"St Charles Catholic Sixth Form College";"";"Contacted";"Q2-2017";"GBP";"";"25";"459,0000000000";"21-4-2017";"31-5-2017";"459,0000000000";"0065800000G8NDP";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"St Charles Catholic Sixth Form College, London W10 6EY"
"Alex Murden";"Harries Academy";"Harries Academy Battersea";"";"Contacted";"Q2-2017";"GBP";"";"25";"459,0000000000";"21-4-2017";"31-5-2017";"459,0000000000";"0065800000G8NG4";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"401 Battersea Park Rd, London SW11 5AP"
"Alex Murden";"Bridge Park Community Centre (London, NW10)";"Bridge Park Community Leisure Centre";"";"Contacted";"Q2-2017";"GBP";"";"25";"459,0000000000";"21-4-2017";"31-5-2017";"459,0000000000";"0065800000G8Nx7";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Brentfield, Harrow Rd, London NW10 0RG"
"Adrian Thomas";"Arena Business Centres - Abbey House (Farnborough, GU14)";"Arena Business Centres";"";"Contacted";"Q2-2017";"EUR";"";"25";"460,0000000000";"20-4-2017";"31-5-2017";"460,0000000000";"0065800000G7ygf";"";"UK";"";"Cold Call";"EUR";"";"EUR";"";"";"";"";"";"Farnborough Road"
"Alex Murden";"Managed Workspace - Brixton (London,SW2)";"Managed Workspace, Eurolink Brixton";"";"Contacted";"Q2-2017";"GBP";"";"25";"460,0000000000";"20-4-2017";"31-5-2017";"460,0000000000";"0065800000G83A7";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"49 Effra Road Brixton London SW2 1BZ"
"Adrian Thomas";"The Car Park (Twickenham, TW1)";"The Car Park";"";"Contacted";"Q2-2017";"GBP";"";"25";"460,0000000000";"20-4-2017";"17-5-2017";"460,0000000000";"0065800000G858n";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"Station Yard, Twickenham, TW1 4LT"
"Alex Murden";"Cobham Academy (London E2)";"Cobham Academy";"";"Contacted";"Q2-2017";"GBP";"";"25";"459,0000000000";"21-4-2017";"31-5-2017";"459,0000000000";"0065800000G8Nrl";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"40 Cheering Ln, London E20 1BD"
"Alex Murden";"Tower Hotel";"Tower hotel";"London";"Contacted";"Q1-2018";"GBP";"44000,00";"25";"172,0000000000";"2-2-2018";"17-2-2018";"172,0000000000";"0065800000VritM";"";"UK";"No";"";"EUR";"51764,71";"GBP";"";"Revenue Share";"";"";"10";""
"Daniel Mens";"Nieuw Amsterdam";"CBRE Global Investors (NL)";"";"Contacted";"Q3-2017";"EUR";"0,00";"25";"427,0000000000";"23-5-2017";"31-8-2017";"427,0000000000";"0065800000HM2Uf";"";"NL";"";"Increasing Portfolio";"EUR";"0,00";"EUR";"";"";"";"";"";"Foppingadreef"
"Adrian Thomas";"VPS - Denby Court (Lambeth Walk SW11)";"VPS UK Ltd";"";"Contacted";"Q3-2017";"GBP";"";"25";"411,0000000000";"8-6-2017";"31-7-2017";"411,0000000000";"0065800000IOkcg";"";"UK";"";"Increasing Portfolio";"EUR";"";"GBP";"";"";"";"";"";"Lambeth Walk, Lambeth"
"Jordy Cobelens";"Koningin Wilhelminalaan 9 - Utrecht";"Mitros";"Utrecht";"Contacted";"Q3-2018";"EUR";"";"25";"393,0000000000";"26-6-2017";"31-8-2018";"393,0000000000";"0065800000IvMkP";"";"NL";"";"Inbound Email";"EUR";"";"EUR";"";"Revenue Share";"";"";"100";"Koningin Wilhelminalaan 9"
"Mitch Nijburg";"Zwaardstraat - DEN HAAG";"Hendrick de Keyser";"Den Haag";"Contacted";"Q3-2018";"EUR";"5000,00";"25";"393,0000000000";"26-6-2017";"31-8-2018";"183,0000000000";"0065800000IvLUz";"";"NL";"";"Cold Call";"EUR";"5000,00";"EUR";"";"Revenue Share";"";"";"35";"Zwaardstraat"
"Daniel Mens";"Delftse Poort Rotterdam";"CBRE Global Investors (NL)";"Rotterdam";"Contacted";"Q4-2018";"EUR";"";"0";"196,0000000000";"9-1-2018";"15-11-2018";"196,0000000000";"0065800000UVnB0";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"10";""
"Adrian Thomas";"Kings Cross Estates - Handyside Car Park (London, N1)";"Kings Cross Estates";"London";"Contacted";"Q1-2018";"GBP";"74880,00";"25";"154,0000000000";"20-2-2018";"31-3-2018";"154,0000000000";"0065800000WwbzO";"";"UK";"";"";"EUR";"88094,12";"GBP";"";"Revenue Share";"";"";"20";""
"Jordy Cobelens";"Krasnapolsky Hotel Amsterdam - AXA REIM";"AXA Reim";"Amsterdam";"Contacted";"Q3-2018";"EUR";"83678,00";"25";"154,0000000000";"20-2-2018";"31-8-2018";"154,0000000000";"0065800000WweIk";"";"NL";"";"";"EUR";"83678,00";"EUR";"";"Revenue Share";"";"";"50";""
"Mitch Nijburg";"Cruquiusweg 67 - AMSTERDAM";"Fris Vastgoed Management";"Amsterdam";"Contacted";"Q3-2018";"EUR";"";"25";"158,0000000000";"16-2-2018";"31-8-2018";"158,0000000000";"0065800000VxlqF";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"0";""
"Adrian Thomas";"Touchstone CPS - 300 City Road (London)";"Touchstone CPS";"London";"Proposal";"Q3-2018";"GBP";"50000,00";"50";"54,0000000000";"31-5-2018";"31-7-2018";"54,0000000000";"0065800000cp1Qn";"";"UK";"No";"";"EUR";"58823,53";"GBP";"3000,00";"Fixed Fee (Guaranteed Income)";"";"";"30";""
"Alex Murden";"Temple Point";"JLL - Alternatives Team";"Bristol";"Proposal";"Q2-2018";"GBP";"";"50";"49,0000000000";"5-6-2018";"19-6-2018";"49,0000000000";"0065800000dHAPw";"";"UK";"";"";"EUR";"";"GBP";"2250,00";"Fixed Fee (Guaranteed Income)";"";"";"30";""
"Sarah Rijken";"Dreef - Haarlem";"Cobraspen";"Haarlem";"Proposal";"Q3-2018";"EUR";"41218,00";"50";"43,0000000000";"11-6-2018";"31-8-2018";"43,0000000000";"0065800000dmf7l";"";"NL";"";"";"EUR";"41218,00";"EUR";"";"Revenue Share";"";"";"60";""
"Sarah Rijken";"Kennemerplein - Haarlem";"Cobraspen";"Haarlem";"Proposal";"Q3-2018";"EUR";"18904,00";"50";"43,0000000000";"11-6-2018";"31-8-2018";"43,0000000000";"0065800000dmf5a";"";"NL";"";"";"EUR";"18904,00";"EUR";"";"Revenue Share";"";"";"9";""
"Sarah Rijken";"Parklaan - Haarlem";"Cobraspen";"Haarlem";"Proposal";"Q3-2018";"EUR";"20144,00";"50";"43,0000000000";"11-6-2018";"31-8-2018";"43,0000000000";"0065800000dmf9m";"";"NL";"";"";"EUR";"20144,00";"EUR";"";"Revenue Share";"";"";"10";""
"Sarah Rijken";"Sophiastraat - Haarlem";"Cobraspen";"Haarlem";"Proposal";"Q3-2018";"EUR";"48036,00";"50";"43,0000000000";"11-6-2018";"31-8-2018";"43,0000000000";"0065800000dmf2M";"";"NL";"";"";"EUR";"48036,00";"EUR";"";"Revenue Share";"";"";"20";""
"Sarah Rijken";"Maliebaan 15 - Utrecht";"Rabobank";"Utrecht";"Proposal";"Q1-2019";"EUR";"26000,00";"50";"8,0000000000";"16-7-2018";"1-3-2019";"8,0000000000";"0065800000g1hFb";"";"NL";"";"";"EUR";"26000,00";"EUR";"";"Revenue Share";"";"";"40";""
"Daniel Mens";"Airborntower - Arnhem";"PPF Real estate";"Arnhem";"Proposal";"Q3-2018";"EUR";"80000,00";"50";"7,0000000000";"17-7-2018";"27-9-2018";"7,0000000000";"0065800000g1q75";"";"NL";"";"";"EUR";"80000,00";"EUR";"";"Revenue Share";"";"";"150";""
"Daniel Mens";"WTC Amsterdam";"CBRE Global Investors (NL)";"Amsterdam";"Proposal";"Q3-2018";"EUR";"136000,00";"50";"8,0000000000";"16-7-2018";"28-9-2018";"7,0000000000";"0065800000g1fuD";"";"NL";"";"";"EUR";"136000,00";"EUR";"";"Revenue Share";"";"";"125";""
"Jordy Cobelens";"Nieuw Amerika (Amsterdam) - Vesteda";"Vesteda";"Amsterdam";"Proposal";"Q3-2018";"EUR";"102924,00";"50";"11,0000000000";"13-7-2018";"31-8-2018";"11,0000000000";"0065800000g1WNn";"";"NL";"";"";"EUR";"102924,00";"EUR";"";"Revenue Share";"";"";"75";""
"Jordy Cobelens";"Linker Rottekade (Rotterdam) - Vesteda";"Vesteda";"Rotterdam";"Proposal";"Q3-2018";"EUR";"33471,00";"50";"11,0000000000";"13-7-2018";"31-8-2018";"11,0000000000";"0065800000g1WOW";"";"NL";"";"";"EUR";"33471,00";"EUR";"";"Revenue Share";"";"";"30";""
"Daniel Mens";"Oorsprongpark 12 Utrecht (REGUS)";"Keemink Vastgoed Inspectarium BV";"Utrecht";"Proposal";"Q3-2018";"EUR";"50000,00";"50";"27,0000000000";"27-6-2018";"25-8-2018";"27,0000000000";"0065800000f14iR";"";"NL";"";"";"EUR";"50000,00";"EUR";"";"Revenue Share";"";"";"15";""
"Sarah Rijken";"Lange Houtstraat 2-26 - Den Haag";"Achmea";"Den Haag";"Proposal";"Q3-2018";"EUR";"240000,00";"50";"21,0000000000";"3-7-2018";"31-8-2018";"21,0000000000";"0065800000fTvAL";"";"NL";"";"";"EUR";"240000,00";"EUR";"";"Revenue Share";"";"";"75";""
"Jordy Cobelens";"Oudenoord 330 (Utrecht) - BPD";"BPD";"Utrecht";"Proposal";"Q3-2018";"EUR";"74618,00";"50";"22,0000000000";"2-7-2018";"31-8-2018";"22,0000000000";"0065800000fTT7Y";"";"NL";"";"";"EUR";"74618,00";"EUR";"";"Revenue Share";"";"";"40";""
"Sarah Rijken";"Parking Centrum Plein - Den Haag";"InPublic";"Den Haag";"Proposal";"Q4-2018";"EUR";"74687,00";"50";"15,0000000000";"9-7-2018";"31-10-2018";"15,0000000000";"0065800000g0fyg";"";"NL";"";"";"EUR";"74687,00";"EUR";"";"Revenue Share";"";"";"100";""
"Mitch Nijburg";"Spaklerweg 10 - AMSTERDAM";"Egeria";"Amsterdam";"Proposal";"Q3-2018";"EUR";"34810,00";"50";"26,0000000000";"28-6-2018";"30-9-2018";"26,0000000000";"0065800000f1ys9";"";"NL";"";"";"EUR";"34810,00";"EUR";"";"Revenue Share";"";"";"16";""
"Daniel Mens";"Hangar Rijnkaai - Antwerp";"NP-Bridging";"Antwerp";"Proposal";"Q3-2018";"EUR";"80000,00";"50";"25,0000000000";"29-6-2018";"21-9-2018";"21,0000000000";"0065800000f2flZ";"";"NL";"";"";"EUR";"80000,00";"EUR";"";"Revenue Share";"";"";"300";""
"Sarah Rijken";"Dellaertweg 1 - Leiden";"Achmea";"Leiden";"Proposal";"Q4-2018";"EUR";"70000,00";"50";"21,0000000000";"3-7-2018";"31-10-2018";"21,0000000000";"0065800000fTxnM";"";"NL";"";"";"EUR";"70000,00";"EUR";"";"Revenue Share";"";"";"100";""
"Jordy Cobelens";"Fellenoord 200 (parkeerdek 2) - Eindhoven";"Merin";"Eindhoven";"Proposal";"Q3-2018";"EUR";"70265,00";"50";"28,0000000000";"26-6-2018";"30-9-2018";"28,0000000000";"0065800000f0bAs";"";"NL";"";"";"EUR";"70265,00";"EUR";"";"Revenue Share";"";"";"100";""
"Sarah Rijken";"Tennispark Buitenveldert - Amsterdam";"Tennispark Buitenveldert";"Amsterdam";"Proposal";"Q3-2018";"EUR";"41000,00";"50";"6,0000000000";"18-7-2018";"31-8-2018";"1,0000000000";"0065800000g22J9";"";"NL";"";"";"EUR";"41000,00";"EUR";"";"Revenue Share";"";"";"10";""
"Jordy Cobelens";"Hojel City Center - Croeselaan 15 (Utrecht) - Actiam";"Actiam";"Utrecht";"Proposal";"Q3-2018";"EUR";"";"50";"7,0000000000";"17-7-2018";"31-8-2018";"7,0000000000";"0065800000g1yqg";"";"NL";"";"";"EUR";"";"EUR";"";"Revenue Share";"";"";"250";""
"Jordy Cobelens";"IJsbaanpad 45 (Amsterdam) - Bvh Facilities";"BvH Facilities";"Amsterdam";"Proposal";"Q3-2018";"EUR";"";"50";"1,0000000000";"23-7-2018";"31-8-2018";"1,0000000000";"0065800000g2ajR";"";"NL";"";"";"EUR";"";"EUR";"";"Fixed Fee (Guaranteed Income)";"";"";"25";""
"Mitch Nijburg";"Europaplein";"HOF Capital";"Utrecht";"Proposal";"Q4-2018";"EUR";"5000,00";"50";"236,0000000000";"30-11-2017";"31-10-2018";"230,0000000000";"0065800000RKoLp";"";"NL";"";"";"EUR";"5000,00";"EUR";"";"Revenue Share";"";"";"10";""
"Mitch Nijburg";"Entrepotgebouw";"AllFixed";"Rotterdam";"Proposal";"Q4-2018";"EUR";"30000,00";"50";"473,0000000000";"7-4-2017";"31-10-2018";"473,0000000000";"0065800000FlJ7O";"";"NL";"";"Existing Client Referral";"EUR";"30000,00";"EUR";"";"Revenue Share";"";"";"0";"Vijf Werelden"
"Alex Murden";"PureGym - New Barnet";"PureGym";"";"Proposal";"Q2-2017";"GBP";"";"50";"473,0000000000";"7-4-2017";"30-4-2017";"473,0000000000";"0065800000FlFtX";"";"UK";"";"Spotting / Bike Tours";"EUR";"";"GBP";"";"";"";"";"";"18 E Barnet Road"
"Daniel Mens";"Hirschgebouw";"Execuitive Property Invest B.V.";"Amsterdam";"Proposal";"Q4-2018";"EUR";"90000,00";"50";"473,0000000000";"7-4-2017";"29-12-2018";"473,0000000000";"0065800000FlHKi";"";"NL";"";"Existing Client Referral";"EUR";"90000,00";"EUR";"";"Revenue Share";"";"";"0";"Leidseplein 23-25"
"Adrian Thomas";"Amesty International - 25 New Inn Yard (London, EC2)";"Amnesty International";"";"Proposal";"Q2-2017";"GBP";"";"50";"432,0000000000";"18-5-2017";"30-6-2017";"432,0000000000";"0065800000HKA6f";"";"UK";"";"Networking / Event";"EUR";"";"GBP";"";"";"";"";"";"25 New Inn Yard"
"Alex Murden";"Holloway Rd";"PureGym";"London";"Proposal";"Q3-2017";"GBP";"5000,00";"50";"386,0000000000";"3-7-2017";"24-7-2017";"386,0000000000";"0065800000JIrIs";"";"UK";"";"Increasing Portfolio";"EUR";"5882,35";"GBP";"833,00";"Fixed Fee (Guaranteed Income)";"";"";"24";"Mercers Roadd, London N19 4PJ"
"Alex Murden";"Albany Street - regents park";"London Garages";"London";"Proposal";"Q1-2018";"GBP";"21000,00";"50";"175,0000000000";"30-1-2018";"27-2-2018";"175,0000000000";"0065800000VQk6o";"";"UK";"";"";"EUR";"24705,88";"GBP";"600,00";"Fixed Fee (Guaranteed Income)";"";"";"6";""
"Adrian Thomas";"Britannia Parking - Cheltenham Terrace (SW3 London)";"Britannia Parking";"London";"Proposal";"Q1-2018";"GBP";"60840,00";"50";"172,0000000000";"2-2-2018";"28-2-2018";"172,0000000000";"0065800000Vrbcf";"";"UK";"";"";"EUR";"71576,47";"GBP";"";"Revenue Share";"";"";"10";""
"Adrian Thomas";"Britannia Parking - Waterloo (SE1, London)";"Britannia Parking";"London";"Proposal";"Q1-2018";"GBP";"40560,00";"50";"172,0000000000";"2-2-2018";"28-2-2018";"172,0000000000";"0065800000VrbQ5";"";"UK";"";"";"EUR";"47717,65";"GBP";"";"Revenue Share";"";"";"10";""
"Alex Murden";"Tower Hotel";"Guoman";"London";"Proposal";"Q1-2018";"GBP";"20000,00";"50";"168,0000000000";"6-2-2018";"28-2-2018";"168,0000000000";"0065800000VtwJA";"";"UK";"";"";"EUR";"23529,41";"GBP";"";"Revenue Share";"";"";"5";""
"Adrian Thomas";"Lambeth Council - 20 Somerleyton Road (London, SW9)";"London Borough of Lambeth";"London";"Proposal";"Q1-2018";"GBP";"62400,00";"50";"165,0000000000";"9-2-2018";"28-2-2018";"165,0000000000";"0065800000WKdQn";"";"UK";"Yes";"";"EUR";"73411,76";"GBP";"";"Revenue Share";"";"";"40";""
"Adrian Thomas";"Orega BC - Wandsworth (London, SW18)";"Orega Management Ltd";"";"Proposal";"Q2-2017";"EUR";"14100,00";"50";"434,0000000000";"16-5-2017";"30-6-2017";"433,0000000000";"0065800000HJZyl";"";"UK";"";"Spotting / Bike Tours";"EUR";"14100,00";"EUR";"";"";"";"";"";"1 Hardwick's Square"
"Mitch Nijburg";"Westerdijk - UTRECHT";"Orange Capital Partners";"Utrecht";"Proposal";"Q3-2018";"EUR";"25000,00";"50";"251,0000000000";"15-11-2017";"31-8-2018";"168,0000000000";"0065800000QUEjC";"";"NL";"";"";"EUR";"25000,00";"EUR";"";"Revenue Share";"";"";"0";"Westerdijk"
"Adrian Thomas";"VPS - Brazennose House (Manchester, M2)";"VPS UK Ltd";"";"Proposal";"Q3-2017";"GBP";"85500,00";"50";"372,0000000000";"17-7-2017";"30-9-2017";"372,0000000000";"0065800000Jit5F";"";"UK";"";"Increasing Portfolio";"EUR";"100588,24";"GBP";"";"";"";"";"";"Brazennose Street, Manchester M2 5AS"
"Daniel Mens";"Partnership";"IP Parking B.V.";"Netherlands";"Proposal";"Q3-2018";"EUR";"0,00";"50";"362,0000000000";"27-7-2017";"30-8-2018";"362,0000000000";"0065800000K7zKP";"";"NL";"";"Networking / Event";"EUR";"0,00";"EUR";"";"Revenue Share";"";"";"0";"Unknown"
"Mitch Nijburg";"Mathenesserlaan - ROTTERDAM";"Looije Properties";"Rotterdam";"Proposal";"Q3-2018";"EUR";"25000,00";"50";"371,0000000000";"18-7-2017";"31-8-2018";"168,0000000000";"0065800000JjGZc";"";"NL";"";"Cold Call";"EUR";"25000,00";"EUR";"";"Revenue Share";"";"";"17";"Mathenesserlaan 185"
"Adrian Thomas";"Osborne King - Adelaide Exchange (Belfast, BT2)";"Osborne King (Belfast)";"Belfast";"Proposal";"Q4-2017";"GBP";"115000,00";"50";"319,0000000000";"8-9-2017";"30-11-2017";"319,0000000000";"0065800000MHIvZ";"";"UK";"Yes";"";"EUR";"135294,12";"GBP";"";"";"";"";"80";""
"Adrian Thomas";"CBRE GI - 10 Gresham Street (London, EC2)";"CBRE Global Investors (LONDON)";"London";"Proposal";"Q4-2017";"GBP";"61000,00";"50";"337,0000000000";"21-8-2017";"1-12-2017";"337,0000000000";"0065800000LY6q8";"";"UK";"No";"Spotting / Bike Tours";"EUR";"71764,71";"GBP";"";"";"";"";"20";"10 Gresham Street"
"Adrian Thomas";"CBRE GI - Temple Quay (Bristol, BS1)";"CBRE Global Investors (LONDON)";"London";"Proposal";"Q4-2017";"GBP";"34000,00";"50";"337,0000000000";"21-8-2017";"1-12-2017";"337,0000000000";"0065800000LY6zo";"";"UK";"";"Networking / Event";"EUR";"40000,00";"GBP";"";"";"";"";"20";"2 Temple Back"
"Adrian Thomas";"CBRE GI - 15 Ebenezer Street (London, N1)";"CBRE Global Investors (LONDON)";"London";"Proposal";"Q4-2017";"GBP";"32000,00";"50";"337,0000000000";"21-8-2017";"1-12-2017";"337,0000000000";"0065800000LY6vN";"";"UK";"";"Networking / Event";"EUR";"37647,06";"GBP";"";"";"";"";"10";"15 Ebenezer Street"
